id,week,home_id,home_team,home_points,away_id,away_team,away_points
401432975,1,568,Minot State,10,2851,Winona State,24
401432810,1,418,Hendrix College,20,2045,Austin College,0
401431821,1,2682,Walsh,0,2838,Tiffin,42
401431246,1,2802,Bethel (MN),41,2486,Pacific Lutheran,9
401432514,1,2738,Wisconsin-Eau Claire,30,263,Loras College,27
401435103,1,2600,St. Johns (MN),24,2745,UW-Whitewater,10
401435059,1,74,Millikin,28,2257,Greenville,14
401404057,1,66,Iowa State,42,2546,Southeast Missouri State,10
401420822,1,2754,Youngstown State,31,2184,Duquesne,14
401435346,1,271,UW-Oshkosh,52,2194,East Texas Baptist,13
401413214,1,55,Jacksonville State,35,2166,Davidson,17
401445818,1,2071,Bloomsburg,30,284,Stonehill,33
401431077,1,72,Elmhurst,0,2723,UW-River Falls,63
401431117,1,354,Olivet College,35,2233,Franklin,31
401430996,1,2639,Texas Lutheran,45,2758,Howard Payne,59
401431293,1,255,Knox College,26,433,Westminster,0
401430975,1,101,Eureka College,6,6845,Nebraska Wesleyan University,31
401431298,1,262,Lake Forest,42,2741,Wisconsin Lutheran,7
401431318,1,2151,Concordia (IL),14,80,Chicago,34
401432793,1,2373,Maryville TN,24,2757,Berry College,31
401425513,1,2169,Delaware State,34,2339,Lincoln (PA),0
401403971,1,26,UCLA,45,189,Bowling Green,17
401438680,1,2930,Willamette,21,2923,Pomona-Pitzer,44
401431579,1,437,Lake Erie College,31,2273,Hillsdale,35
401413333,1,149,Montana,47,2466,Northwestern State,0
401405063,1,158,Nebraska,38,155,North Dakota,17
401403855,1,8,Arkansas,31,2132,Cincinnati,24
401411097,1,2390,Miami,70,2065,Bethune-Cookman,13
401415015,1,276,Marshall,55,2450,Norfolk State,3
401426541,1,201,Oklahoma,45,2638,UTEP,13
401420836,1,2449,North Dakota State,56,2181,Drake,14
401426542,1,2636,UT San Antonio,35,248,Houston,37
401403967,1,21,San Diego State,20,12,Arizona,38
401403858,1,61,Georgia,49,2483,Oregon,3
401415211,1,2751,Wyoming,40,202,Tulsa,37
401415612,1,58,South Florida,21,252,BYU,50
401403860,1,145,Ole Miss,28,2653,Troy,10
401445811,1,2333,Lewis & Clark,41,2508,Puget Sound,15
401403968,1,25,California,34,302,UC Davis,13
401430671,1,2551,Shaw,7,351,Wingate,21
401439513,1,2206,Edward Waters,34,2805,Clark Atlanta,39
401415176,1,2458,Northern Colorado,34,2277,Houston Christian,46
401413236,1,331,Eastern Washington,36,2634,Tennessee State,29
401421116,1,6,South Alabama,48,2447,Nicholls,7
401432888,1,2740,Wisconsin-La Crosse,42,512,Dakota State,7
401415212,1,2440,Nevada,38,326,Texas State,14
401422978,1,2083,Bucknell,13,119,Towson,14
401431854,1,60,Morehouse,16,2695,West Alabama,24
401455583,1,109418,Finlandia University,7,2283,Benedictine (IL),52
401430921,1,63,Buena Vista,20,2968,Gustavus Adolphus,62
401420777,1,290,Georgia Southern,59,2415,Morgan State,7
401426536,1,195,Ohio,41,2226,Florida Atlantic,38
401432880,1,2516,Randolph-Macon,49,286,NC Wesleyan,7
401426538,1,256,James Madison,44,2393,Middle Tennessee,7
401426540,1,30,USC,66,242,Rice,14
401444470,1,2940,Livingstone,19,2107,Catawba,44
401423449,1,2011,Alabama State,21,2396,Miles,13
401429860,1,490,Benedict College,52,2207,Elizabeth City State,14
401432628,1,2688,Washington & Lee,3,3112,Christopher Newport,9
401430695,1,2331,Lenoir-Rhyne,38,330,Virginia State,19
401431566,1,215,Slippery Rock,42,131,Wayne State (MI),10
401423411,1,56,Stetson,24,2985,Concordia College (MI),14
401431863,1,2698,West Georgia,38,2105,Carson-Newman,7
401432090,1,2017,Alderson-Broaddus,28,2385,Mercyhurst,45
401432331,1,2444,Newberry,40,2019,Allen,6
401431489,1,2292,Indianapolis,57,2615,St. Xavier (IL),0
401413203,1,236,Chattanooga,31,2747,Wofford,0
401424417,1,2261,Hampton,31,47,Howard,28
401432436,1,559,University of Mary,28,2844,Wayne State (NE),33
401404134,1,324,Coastal Carolina,38,349,Army,28
401423925,1,2582,Southern,86,125762,Florida Memorial University,0
401432524,1,2371,Mary Hardin-Baylor,62,2422,Muhlenberg,13
401431006,1,386,Trinity (TX),55,2834,Sul Ross State,7
401431094,1,75,North Park,14,2362,Manchester,23
401441340,1,2896,Southern Virginia,27,2733,Wilmington (OH),52
401431178,1,191,Heidelberg,31,2003,Adrian,0
401432646,1,2938,Huntingdon,34,203,Linfield,41
401435213,1,2743,Wisconsin-Stevens Point,24,561,Mayville State,31
401405065,1,275,Wisconsin,38,2287,Illinois State,0
401421121,1,309,Louisiana,24,2545,Southeastern Louisiana,7
401424943,1,2029,Arkansas-Pine Bluff,48,2323,Lane,42
